!!! (Chk Chk Chk)	Wednesday June 30, 2010 at 11:59 p.m.	Club Soda	!!! (Chk Chk Chk)
Sweet Dixie	Monday July 5, 1999 at 3 p.m.	Terrasse Grand Marnier 	
Sweet Dixie	Tuesday July 6, 1999 at 1 p.m.	Terrasse Grand Marnier 	
Sweet Dixie	Tuesday July 6, 1999 at 5 p.m.	Chapiteau du Casino de Montréal	
Sweet Dixie	Thursday June 29, 2000 at 12 p.m.	Terrasse Grand Marnier 	Sweet Dixie 
Sweet Dixie	Thursday June 29, 2000 at 3 p.m.	Terrasse du Casino de Montréal 	
Sweet Dixie	Friday June 30, 2000 at 3 p.m.	Terrasse du Casino de Montréal 	
Sweet Dixie	Friday June 30, 2000 at 5 p.m.	Terrasse Grand Marnier 	
Sweet Dixie	Saturday July 1, 2000 at 12 p.m.	Terrasse Grand Marnier 	
Sweet Dixie	Saturday July 1, 2000 at 3 p.m.	Terrasse du Casino de Montréal 	
Sweet Dixie	Sunday July 2, 2000 at 1 p.m.	Terrasse Grand Marnier 	
Sweet Dixie	Sunday July 2, 2000 at 3 p.m.	Terrasse du Casino de Montréal 	
Sweet Dixie	Thursday June 28, 2001 at 1 p.m.	Banque Nationale Stage	Sweet Dixie
Sweet Dixie	Friday June 29, 2001 at 3 p.m.	Banque Nationale Stage	
Sweet Dixie	Friday June 29, 2001 at 7 p.m.	Terrasse Grand Marnier	
Sweet Dixie	Saturday June 30, 2001 at 12 p.m.	Terrasse Grand Marnier	
Sweet Dixie	Saturday June 30, 2001 at 2 p.m.	La Louisiane / Radio-Canada Stage	
Sweet Dixie	Tuesday July 3, 2001 at 2 p.m.	La Louisiane / Radio-Canada Stage	
Sweet Dixie	Wednesday July 4, 2001 at 1 p.m.	Terrasse Grand Marnier	
Sweet Dixie	Thursday June 26, 2003 at 12 p.m.	Terrasse Grand Marnier	Sweet Dixie
Sweet Dixie	Thursday June 26, 2003 at 2 p.m.	Scène Banque Nationale	
Sweet Dixie	Friday June 27, 2003 at 7 p.m.	Terrasse Grand Marnier	
Sweet Dixie	Saturday June 28, 2003 at 1 p.m.	Terrasse Grand Marnier	
Sweet Dixie	Saturday June 28, 2003 at 4 p.m.	Du Maurier/Radio Canada Stage	
Sweet Dixie	Sunday June 29, 2003 at 12 p.m.	Terrasse Grand Marnier	
Sweet Dixie	Sunday June 29, 2003 at 2 p.m.	Scène Banque Nationale	
Sweet Dixie	Monday June 30, 2003 at 5 p.m.	Scène Banque Nationale	
Sweet Dixie	Monday June 30, 2003 at 6:15 p.m.	Scène Banque Nationale	
Sweet Dixie	Thursday July 1, 2004 at 1 p.m.	Terrasse Grand Marnier Stage	Sweet Dixie
Sweet Dixie	Thursday July 1, 2004 at 4 p.m.	Bell Stage	
Sweet Dixie	Friday July 2, 2004 at 5 p.m.	Festival Stage	
Sweet Dixie	Sunday July 4, 2004 at 7 p.m.	Terrasse Grand Marnier Stage	
Sweet Dixie	Monday July 5, 2004 at 5 p.m.	Festival Stage	
Sweet Dixie	Thursday June 30, 2005 at 12 p.m.	Terrasse Amarula Stage	Sweet Dixie
Sweet Dixie	Wednesday July 6, 2005 at 1 p.m.	Terrasse Amarula Stage	
Sweet Dixie	Wednesday July 6, 2005 at 4 p.m.	Bell-Samsung Stage	
Sweet Dixie	Thursday July 7, 2005 at 12 p.m.	Terrasse Amarula Stage	
Sweet Dixie	Sunday July 10, 2005 at 5 p.m.	CBC Television Stage	
Sweet Dixie	Sunday July 10, 2005 at 6:15 p.m.	CBC Television Stage	
Sweet Dixie	Thursday June 29, 2006 at 4 p.m.	Alcan Stage	Sweet Dixie
Sweet Dixie	Thursday June 29, 2006 at 7 p.m.	Terrasse Amarula Stage	
Sweet Dixie	Friday June 30, 2006 at 12 p.m.	Terrasse Amarula Stage	
Sweet Dixie	Sunday July 2, 2006 at 5 p.m.	Best Buy / CBC Stage	
Sweet Dixie	Sunday July 2, 2006 at 6:15 p.m.	Best Buy / CBC Stage	
Sweet Dixie	Sunday July 9, 2006 at 12 p.m.	Terrasse Amarula Stage	
Sweet Dixie	Sunday July 9, 2006 at 1:15 p.m.	Terrasse Amarula Stage	
Sweet Dixie	Friday June 29, 2007 at 4:45 p.m.	Scène CBC/Radio-Canada BEST BUY	Sweet Dixie
Sweet Dixie	Friday June 29, 2007 at 6 p.m.	Scène CBC/Radio-Canada BEST BUY	
Sweet Dixie	Saturday June 30, 2007 at 1 p.m.	Terrasse Amarula	
Sweet Dixie	Monday July 2, 2007 at 4 p.m.	Scène Alcan	
Sweet Dixie	Monday July 2, 2007 at 7 p.m.	Terrasse Amarula	
Sweet Dixie	Monday July 6, 2009 at 2 p.m.	Scène CBC/Radio-Canada	Sweet Dixie
Sweet Dixie	Monday July 6, 2009 at 4:30 p.m.	Scène CBC/Radio-Canada	
Sweet Dixie	Wednesday July 8, 2009 at 1 p.m.	Scène CBC/Radio-Canada	
Sweet Dixie	Thursday July 9, 2009 at 2 p.m.	Scène CBC/Radio-Canada	
Sweet Dixie	Friday July 10, 2009 at 3 p.m.	Club Jazz TD Canada Trust 	
Sweet Dixie	Monday June 27, 2011 at 12 p.m.	Pub Heineken	Sweet Dixie
Sweet Dixie	Monday June 27, 2011 at 2 p.m.	Marching along the place des Festivals	
Sweet Dixie	Tuesday June 28, 2011 at 1 p.m.	Pub Heineken	
Sweet Dixie	Tuesday June 28, 2011 at 4 p.m.	Pub Heineken	
Sweet Dixie	Wednesday June 29, 2011 at 12 p.m.	Pub Heineken	
Sweet Dixie	Wednesday June 29, 2011 at 1 p.m.	Marching along Blvd. De Maisonneuve	Complèt’ Mandingue (France) et Sweet Dixie
Sweet Dixie	Wednesday June 29, 2011 at 2 p.m.	Marching along the place des Festivals	Sweet Dixie
Sweet Dixie	Wednesday June 29, 2011 at 4 p.m.	Marching along Blvd. De Maisonneuve	Complèt’ Mandingue (France) et Sweet Dixie
Sweet Dixie	Thursday June 30, 2011 at 1 p.m.	Pub Heineken	Sweet Dixie
Sweet Dixie	Thursday June 30, 2011 at 4 p.m.	Pub Heineken	
Sweet Dixie	Friday July 1, 2011 at 1 p.m.	Marching along Blvd. De Maisonneuve	Sweet Dixie - Musical entertainment
Sweet Dixie	Friday July 1, 2011 at 4 p.m.	Marching along Blvd. De Maisonneuve	
The Sweet Petunias	Saturday July 8, 2000 at 8 p.m.	Scène de la Louisiane 	Sweet Petunias 
The Sweet Petunias	Saturday July 8, 2000 at 10 p.m.	Scène de la Louisiane 	
Swing Dynamique	Thursday June 30, 1994 at 12 p.m.	Place du Complexe Desjardins (int.)	Swing Dynamique 
Swing Dynamique	Sunday July 6, 1997 at 7 p.m.	Place du Maurier	Swing Dynamique avec Guy Nadon
Swing Dynamique	Friday July 2, 1999 at 6 p.m.	Scène du Maurier 	Mike King and Swing Dynamique
Swing Guitares	Wednesday July 7, 2004 at 8 p.m.	Festival Stage	Swing Guitares
Swing Guitares	Wednesday July 7, 2004 at 10 p.m.	Festival Stage	
Swing Soniq	Wednesday July 5, 2000 at 10 p.m.	Air Transat-Radio-Canada Stage	Swing Soniq 
Swing Tonique Jazz Band	Wednesday June 30, 2004 at 5:30 p.m.	Bell Stage	La Parade du Festival avec Swing Tonique
Swing Tonique Jazz Band	Thursday July 1, 2004 at 5:30 p.m.	Bell Stage	
Swing Tonique Jazz Band	Friday July 2, 2004 at 5:30 p.m.	Bell Stage	
Swing Tonique Jazz Band	Saturday July 3, 2004 at 5:30 p.m.	Bell Stage	
Swing Tonique Jazz Band	Sunday July 4, 2004 at 5:30 p.m.	Bell Stage	
Swing Tonique Jazz Band	Monday July 5, 2004 at 5:30 p.m.	Bell Stage	
Swing Tonique Jazz Band	Tuesday July 6, 2004 at 5:30 p.m.	Bell Stage	
Swing Tonique Jazz Band	Wednesday July 7, 2004 at 5:30 p.m.	Bell Stage	
Swing Tonique Jazz Band	Thursday July 8, 2004 at 5:30 p.m.	Bell Stage	
Swing Tonique Jazz Band	Friday July 9, 2004 at 5:30 p.m.	Bell Stage	
Swing Tonique Jazz Band	Saturday July 10, 2004 at 5:30 p.m.	Bell Stage	
Swing Tonique Jazz Band	Sunday July 11, 2004 at 5:30 p.m.	Bell Stage	
Swing Tonique Jazz Band	Thursday June 28, 2007 at 5:15 p.m.	Départ scène Alcan	La Parade De La Louisiane Avec Swing Tonique Jazz Band
Swing Tonique Jazz Band	Friday June 29, 2007 at 5:15 p.m.	Départ scène Alcan	
Swing Tonique Jazz Band	Saturday June 30, 2007 at 5:15 p.m.	Départ scène Alcan	
Swing Tonique Jazz Band	Sunday July 1, 2007 at 5:15 p.m.	Départ scène Alcan	
Swing Tonique Jazz Band	Monday July 2, 2007 at 5:15 p.m.	Départ scène Alcan	
Swing Tonique Jazz Band	Tuesday July 3, 2007 at 5:15 p.m.	Départ scène Alcan	
Swing Tonique Jazz Band	Wednesday July 4, 2007 at 5:15 p.m.	Départ scène Alcan	
Swing Tonique Jazz Band	Thursday July 5, 2007 at 5:15 p.m.	Départ scène Alcan	
Swing Tonique Jazz Band	Friday July 6, 2007 at 5:15 p.m.	Départ scène Alcan	
Swing Tonique Jazz Band	Saturday July 7, 2007 at 5:15 p.m.	Départ scène Alcan	
Swing Tonique Jazz Band	Sunday July 8, 2007 at 5:15 p.m.	Départ scène Alcan	
Swing Tonique Jazz Band	Saturday June 25, 2011 at 5 p.m.	Place des Festivals	Swing Tonique Jazz Band vs Streetnix
Swing Tonique Jazz Band	Sunday June 26, 2011 at 5 p.m.	Place des Festivals	
Swing Tonique Jazz Band	Monday June 27, 2011 at 5 p.m.	Place des Festivals	
Swing Tonique Jazz Band	Tuesday June 28, 2011 at 5 p.m.	Place des Festivals	
Swing Tonique Jazz Band	Wednesday June 29, 2011 at 5 p.m.	Place des Festivals	
Swingtown Sinners	Thursday July 1, 1999 at 10 p.m.	Scène Bleue Dry 	Swingtown Sinners 
Le Swisstet de Nicolas Hafner	Monday July 4, 1994 at 6 p.m.	Scène du Maurier Ltée	Le Swisstet de Nicolas Hafner
Syl Johnson	Saturday July 3, 1999 at 9 p.m.	Scène Labatt Blues 	Syl Johnson 
Syl Johnson	Saturday July 3, 1999 at 11:59 p.m.	Spectrum de Montréal 	
Sylvain Cossette Quartette	Tuesday July 6, 2004 at 8 p.m.	Festival Stage	Sylvain Cossette Quartet
Sylvain Cossette Quartette	Tuesday July 6, 2004 at 10 p.m.	Festival Stage	
Sylvain Gagnon 	Sunday June 28, 1987 at 6 p.m.	Scène Yogourt Liberté	Sylvain Gagnon Quintet
Sylvain Gagnon 	Saturday July 2, 1988 at 4 p.m.	Chapiteau Yogourt	Sylvain Gagnon Quartet
Sylvain Gagnon 	Wednesday July 6, 1988 at 5:30 p.m.	Chapiteau Yogourt	
Sylvain Gagnon 	Sunday July 2, 1989 at 4:30 p.m.	Spectrum de Montréal	Sylvain Gagnon Quartet  
Sylvain Gagnon 	Wednesday July 4, 1990 at 8 p.m.	Amphithéâtre Canadien International	Sylvain Gagnon Quartet
Sylvain Gagnon 	Monday July 1, 1991 at 7 p.m.	Scène du Complexe Desjardins	Sylvain Gagnon Quartet
Sylvain Gagnon 	Sunday July 5, 1992 at 11:59 p.m.	Scène Alcan	Sylvain Gagnon Quartet
Sylvain Gagnon 	Saturday July 3, 1993 at 8 p.m.	Scène Diet Pepsi	Sortie
Sylvain Gagnon 	Wednesday July 7, 1993 at 11:30 p.m.	Place du Maurier Ltée	Sylvain Gagnon Quartet
Sylvain Gagnon 	Thursday July 7, 1994 at 8 p.m.	Place du Maurier Ltée	Sylvain Gagnon Quartet
Sylvain Gagnon 	Friday June 30, 1995 at 6 p.m.	Scène du Maurier Ltée 	Sylain Gagnon Quartet 
Sylvain Gagnon 	Monday July 1, 1996 at 9 p.m.	Scène du Maurier	La Soirée des disques Lost Chart 
Sylvain Gagnon 	Monday July 1, 1996 at 11 p.m.	Scène du Maurier	
Sylvain Gagnon 	Friday July 5, 1996 at 10 p.m.	Salle du Gésu	Sylvain Gagnon, Joey Calderazzo, Jeff "Train" Watts
Sylvain Gagnon 	Wednesday July 7, 1999 at 9 p.m.	Scène du Maurier 	Lost Charts - 5th Anniversary
Sylvain Gagnon 	Wednesday July 7, 1999 at 11 p.m.	Scène du Maurier 	
Sylvain Lelièvre	Saturday July 1, 2000 at 7 p.m.	Salle du Gesù 	Sylvain Lelièvre Quartette 
Sylvain Luc	Saturday July 9, 2005 at 6 p.m.	Salle du Gésù	Eric Longsworth en duo avec Sylvain Luc
Sylvain Luc	Saturday July 9, 2005 at 9:30 p.m.	Amphithéâtre Complexe Desjardins	Sylvain Luc
Sylvain Luc	Monday July 2, 2007 at 6 p.m.	Théâtre Maisonneuve - PdA	String Quartet, Didier Lockwood, Billy Cobham, Victor Bailey, Sylvain Luc
Sylvain Luc	Wednesday June 30, 2010 at 6 p.m.	Gesù, Centre de créativité	MAnu Katché, Sylvain Luc and Richard Bona
Sylvain Luc	Friday July 2, 2010 at 10 p.m.	Cinquième Salle - PdA	Sylvain Luc
Sylvain Pohu	Thursday July 9, 2009 at 5 p.m.	Cinémathèque québécoise - Salle Claude-Jutra	La Terre (Zemlja)
Sylvain Provost	Friday July 8, 1983 at 5 p.m.	Théâtre St-Denis 2	Quartz
Sylvain Provost	Saturday June 30, 1984 at 8 p.m.	Scène Emery	Quartz
Sylvain Provost	Tuesday July 2, 1985 at 6 p.m.	Scène Émery	Sylvain Provost Trio
Sylvain Provost	Friday July 5, 1985 at 6 p.m.	Scène Émery	Quartz
Sylvain Provost	Sunday July 6, 1986 at 8 p.m.	Emery Stage	Sylvain Provost Trio
Sylvain Provost	Friday July 3, 1987 at 7 p.m.	Café de la Place (PdA)	Sylvain Provost / Jacques Labelle
Sylvain Provost	Wednesday July 6, 1988 at 5:30 p.m.	Chapiteau Yogourt	Sylvain Provost Trio
Sylvain Provost	Tuesday July 4, 1989 at 8 p.m.	Amphithéâtre Canadien International	Sylvain Provost Trio
Sylvain Provost	Tuesday July 3, 1990 at 5:30 p.m.	Théâtre Alcan	Sylvain Provost  Quartet
Sylvain Provost	Monday July 4, 1994 at 8 p.m.	Place du Maurier Ltée	Sylvain Provost Trio
Sylvain Provost	Monday July 3, 1995 at 5 p.m.	Salle Le Gesù	Trio Marcaurelle - François Marcaurelle, Normand Guilbeault and Sylvain Provost
Sylvain Provost	Sunday June 30, 1996 at 5 p.m.	Salle Ludger-Duvernay, Monument National	François Marcaurelle Sextet
Sylvain Provost	Friday June 27, 1997 at 8 p.m.	Scène Bleue Dry	François Marcaurelle Quartet 
Sylvain Provost	Thursday July 2, 1998 at 6 p.m.	Scène du Maurier 	Sylvain Provost Quartet 
Sylvain Provost	Monday July 5, 1999 at 6:30 p.m.	Place du Maurier 	François Marcaurelle Quartet
Sylvain Provost	Friday July 7, 2000 at 7 p.m.	Salle du Gesù 	Yannick Rieu Quartet
Sylvain Provost	Friday April 12, 2002 at 8 p.m.	Spectrum de Montréal	Susie Arioli Swing Band - Sylvain Provost/Norman Lachapelle
Sylvain Provost	Friday July 4, 2003 at 7 p.m.	Club du Maurier	Yannick Rieu Quartet
Sylvain Provost	Friday July 4, 2003 at 10 p.m.	Club du Maurier	
Sylvain Provost	Thursday June 30, 2005 at 6 p.m.	Salle du Gésù	Provost - Lachapelle - Brochu
Sylvain Provost	Sunday July 9, 2006 at 9 p.m.	Théâtre Jean-Duceppe - PdA	Sylvain Provost - duo - trio SIMMM / Thomas Carbou solo
Sylvain Provost	Wednesday July 4, 2007 at 6 p.m.	Gesù - Centre de créativité	Jean Vanasse, Sylvain Provost, Frédéric Grenier
Sylvain Provost	Friday July 6, 2007 at 6 p.m.	Gesù - Centre de créativité	Spectrum with Yannick Rieu Michel Donato Daniel Thouin Sylvain Provost Tony Albino Philippe Melancon Adien Vedady Jocelyn Tellier
Sylvain Provost	Sunday July 8, 2007 at 11 p.m.	Scène CBC/Radio-Canada BEST BUY	Sylvain Provost Duo
Sylvain Provost	Saturday July 4, 2009 at 6 p.m.	Cinquième Salle - PdA	Sylvain Provost - <em>Guitarissimo</em> series
Sylvain Provost	Sunday July 5, 2009 at 8:30 p.m.	Upstairs	Trio Young /  Provost / Guilbeault
Sylvain Provost	Monday July 4, 2011 at 6 p.m.	L'Astral  (Maison du Festival Rio Tinto Alcan)	Jean Vanasse Quartet
Sylvain Romano	Monday June 27, 2011 at 10:30 p.m.	Gesù, Centre de créativité	Stéphane Belmondo Quartet (with Kirk Lightsey, Billy Hart and Sylvain Romano) - <em>The Same As It Never Was Before</em>
Sylvie Desgroseillers	Sunday July 3, 2005 at 8:30 p.m.	Salle Wilfrid Pelletier - PdA	Voices of Soul (Soirée Soul)
Sylvie Desgroseillers	Thursday June 29, 2006 at 9 p.m.	General Motors Stage	The Neville Brothers
Sylvie Perron	Thursday July 8, 1982 at 11:59 p.m.	Bar de « La Cour »	Trio de Guy Nadon et Sylvie Perron
Sylvie Perron	Tuesday July 5, 1983 at 8 p.m.	Terrasse de La Cour	Sylvie Perron
Sylvie Perron	Wednesday July 6, 1983 at 8 p.m.	Terrasse de La Cour	
Sylvie Perron	Thursday July 7, 1983 at 8 p.m.	Terrasse de La Cour	
Sylvie Perron	Friday June 29, 1984 at 10:30 p.m.	Rue St-Denis - Jazz Bar	Sylvie Perron et Charlie Duncan Trio
Sylvie Perron	Saturday June 30, 1984 at 10:30 p.m.	Rue St-Denis - Jazz Bar	
Sylvie Perron	Friday June 26, 1987 at 12 p.m.	Complexe Desjardins	Sylvie Perron Sextet
Sylvie Perron	Monday July 4, 1988 at 4 p.m.	Chapiteau Yogourt	Sylvie Perron 
Sylvie Perron	Friday July 6, 1990 at 7 p.m.	Scène Labatt Blues	Sylvie Peron Rhythm &amp; Blues
Sylvie Perron	Friday July 6, 1990 at 11 p.m.	Le Grand Café	
Sylvie Perron	Sunday July 7, 1991 at 7:30 p.m.	Scène Labatt Blues	Sylvie Perron and The D.M. Zone
Sylvie Perron	Sunday July 7, 1991 at 11 p.m.	Le Grand Café	
Sylvie Perron	Sunday July 11, 1993 at 8 p.m.	Scène Labatt Blues	Sylvie Peron
Sylvie Perron	Sunday July 11, 1993 at 11:30 p.m.	Le Grand Café	
Sylvie Tremblay	Sunday July 3, 1994 at 5 p.m.	Salle du Gesù	Lorraine Desmarais and guests
Sylvie Tremblay	Monday July 3, 2000 at 7 p.m.	Salle du Gesù 	Sylvie Tremblay - Monique Fauteux 
La Symphonie Funk de Luc Hamel	Sunday July 10, 1994 at 8 p.m.	Place du Maurier Ltée	La Symphonie Funk de Luc Hamel
Systema Solar	Sunday July 3, 2011 at 10 p.m.	Scène Bell	Systema Solar
Systemwide	Friday July 5, 2002 at 8 p.m.	Du Maurier Stage	Systemwide
Systemwide	Friday July 5, 2002 at 10 p.m.	Du Maurier Stage	
Systemwide	Saturday July 6, 2002 at 8 p.m.	Du Maurier Stage	
Systemwide	Saturday July 6, 2002 at 10 p.m.	Du Maurier Stage	
T.S. Monk	Saturday July 10, 1999 at 6 p.m.	Spectrum de Montréal 	T.S. Monk 
Ta Legal	Saturday July 2, 1983 at 9 p.m.	Scène Carlsberg	John Hammond
Tab Benoît	Thursday July 4, 1996 at 9 p.m.	Scène Labatt Blues	Tab Benoît
Tab Benoît	Thursday July 4, 1996 at 11:59 p.m.	Spectrum de Montréal	
Tab Two	Wednesday July 5, 1995 at 8 p.m.	Scène Labatt Bleue Dry 	Tab Two
Tab Two	Thursday July 6, 1995 at 12 p.m.	Place du Complexe Desjardins (int)	
Tabla Beat Science	Friday June 28, 2002 at 6 p.m.	Théâtre Maisonneuve - PdA	Tabla Beat Science
Taïga	Wednesday July 3, 1985 at 6 p.m.	Scène Émery	Taïga
Tailgaters Tales	Wednesday July 5, 1989 at 11 p.m.	UQAM / Salle Marie-Gérin-Lajoie	Craig Harris and Tailgaters Tales
Taima	Friday July 9, 2004 at 8 p.m.	Théâtre du Nouveau Monde	Taima 
Taima	Saturday July 10, 2004 at 8 p.m.	Théâtre du Nouveau Monde	
Taj Mahal	Friday June 28, 1996 at 9 p.m.	Spectrum de Montréal	Taj Mahal and his musicians
Taj Mahal	Saturday July 8, 2000 at 6 p.m.	Spectrum de Montréal 	Taj Mahal and The Phantom Blues Band
Taj Mahal	Friday July 4, 2008 at 9:30 p.m.	Théâtre Maisonneuve - PdA	Keb' Mo' Solo - Taj Mahal
Taj Mahal	Monday June 28, 2010 at 8:30 p.m.	Métropolis 	The Fabulous Thunderbirds and Taj Mahal &amp; The Trio
Takadja	Saturday July 4, 1992 at 8 p.m.	Scène Ultramar 	Takadja
Takadja	Saturday July 4, 1992 at 10:30 p.m.	Scène Ultramar 	
Takadja	Friday July 2, 1993 at 9 p.m.	Amphithéâtre Ultramar	Takadja
Takadja	Friday July 2, 1993 at 11 p.m.	Amphithéâtre Ultramar	
Takadja	Saturday June 29, 1996 at 10 p.m.	Scène Labatt Bleue Dry	Takadja
Talent Danza (Tango Flamenco)	Wednesday June 29, 2005 at 6 p.m.	Théâtre Jean Duceppe - PdA	Tango Flamenco
Talent Danza (Tango Flamenco)	Thursday June 30, 2005 at 8:30 p.m.	Théâtre Jean Duceppe - PdA	
Talent Danza (Tango Flamenco)	Friday July 1, 2005 at 8:30 p.m.	Théâtre Jean Duceppe - PdA	
Talent Danza (Tango Flamenco)	Saturday July 2, 2005 at 8:30 p.m.	Théâtre Jean Duceppe - PdA	
Talent Danza (Tango Flamenco)	Sunday July 3, 2005 at 8:30 p.m.	Théâtre Jean Duceppe - PdA	
Talent Danza (Tango Flamenco)	Monday July 4, 2005 at 8:30 p.m.	Théâtre Jean Duceppe - PdA	
Talent Danza (Tango Flamenco)	Wednesday July 6, 2005 at 8:30 p.m.	Théâtre Jean Duceppe - PdA	
Talent Danza (Tango Flamenco)	Thursday July 7, 2005 at 8:30 p.m.	Théâtre Jean Duceppe - PdA	
Talent Danza (Tango Flamenco)	Friday July 8, 2005 at 5 p.m.	Théâtre Jean Duceppe - PdA	
Talent Danza (Tango Flamenco)	Friday July 8, 2005 at 8:30 p.m.	Théâtre Jean Duceppe - PdA	
Talent Danza (Tango Flamenco)	Saturday July 9, 2005 at 6 p.m.	Théâtre Jean Duceppe - PdA	
Talent Danza (Tango Flamenco)	Saturday July 9, 2005 at 9:30 p.m.	Théâtre Jean Duceppe - PdA	
Talent Danza (Tango Flamenco)	Sunday July 10, 2005 at 4 p.m.	Théâtre Jean Duceppe - PdA	
Talent Danza (Tango Flamenco)	Sunday July 10, 2005 at 8 p.m.	Théâtre Jean Duceppe - PdA	
Talib Kibwe	Saturday July 8, 1995 at 8 p.m.	Salle Ludger-Duvernay	Randy Weston All-Star Septet 
Tamango's Urban Tap	Wednesday June 25, 2003 at 8 p.m.	Cinquième Salle - PdA	Tamango's Urban Tap
Tamango's Urban Tap	Friday June 27, 2003 at 8 p.m.	Cinquième Salle - PdA	
Tamango's Urban Tap	Saturday June 28, 2003 at 8 p.m.	Cinquième Salle - PdA	
Tamango's Urban Tap	Saturday June 28, 2003 at 8:30 p.m.	Salle Wilfrid Pelletier - PdA	Bobby McFerrin with special guests
Tamango's Urban Tap	Sunday June 29, 2003 at 8 p.m.	Cinquième Salle - PdA	Tamango's Urban Tap
Tamango's Urban Tap	Monday June 30, 2003 at 8 p.m.	Cinquième Salle - PdA	
Tamango's Urban Tap	Tuesday July 6, 2004 at 6 p.m.	Théâtre Maisonneuve - PdA	Tamango's Urban Tap with special guest David Murray
The Tamlins	Tuesday July 7, 2009 at 9 p.m.	Scène General Motors	Rocksteady: The Roots of Reggae
Tammy Weis	Thursday July 5, 2001 at 5:30 p.m.	Banque Nationale Stage	Tammy Weis
Tango x 3	Monday July 3, 1989 at 10:30 p.m.	Amphithéâtre Canadien International	Tango x 3
Tania Maria	Sunday July 3, 1983 at 9:30 p.m.	Spectrum de Montréal	Tito Puente - Albert Collins
Tania Maria	Sunday July 1, 1984 at 7 p.m.	Spectrum de Montréal	Tania Maria
Tania Maria	Sunday July 2, 1989 at 11 p.m.	Théâtre St-Denis	Tania Maria et ses musiciens 
Tanya Kalmanovitch	Saturday June 28, 2003 at 9 p.m.	Musée d'Art Contemporain de Montréal - Beverley-Rolph-Webster	Tanya Kalmanovitch
Taraf de Haïdouks	Friday July 5, 2002 at 9 p.m.	Métropolis	Taraf de Haïdouks
Tarika Sammy	Wednesday July 7, 1993 at 9 p.m.	Amphithéâtre Ultramar	Tarika Sammy
Tarika Sammy	Wednesday July 7, 1993 at 11 p.m.	Amphithéâtre Ultramar	
Tasa	Monday July 2, 2001 at 9:30 p.m.	Carrefour General Motors	Tasa
Tasa	Friday June 30, 2006 at 9 p.m.	Carrefour General Motors	Tasa
Tasman	Monday July 4, 1983 at 6:30 p.m.	Scène Émery	Tasman
Tasman	Monday July 2, 1984 at 8:30 p.m.	UQAM - Salle Marie-Gérin-Lajoie	Tasman
Tata Güiness 	Saturday July 5, 1997 at 9 p.m.	Spectrum de Montréal	Jane Bunnett &amp; Cuban Piano Masters avec Frank Emilio Flynn, Hilario Duran et Tata Güiness
Tatoo	Saturday June 27, 1987 at 8 p.m.	Scène Yogourt Liberté	Tatoo
Taylor Eigsti	Saturday June 30, 2007 at 6 p.m.	Théâtre Maisonneuve - PdA	Joshua Redman Trio
Tchaka	Saturday July 3, 1993 at 9 p.m.	Amphithéâtre Ultramar	Eval Manigat et Tchaka
Tchaka	Saturday July 3, 1993 at 11 p.m.	Amphithéâtre Ultramar	
Tchaka	Thursday June 29, 1995 at 10 p.m.	Scène Labatt Bleue Dry 	Eval Manigat et Tchaka
Tchaka	Friday June 28, 1996 at 10 p.m.	Scène Labatt Bleue Dry	Eval Manigat &amp; Tchaka
Tchavolo Schmitt	Monday June 30, 2003 at 8:30 p.m.	Salle Wilfrid Pelletier - PdA	Hommage à Django Reinhardt avec Bireli Lagrène &amp; Gipsy Project
Tchukon	Friday June 28, 1985 at 8 p.m.	Scène Émery	Tchukon
Teardrops 	Saturday July 9, 1994 at 10 p.m.	Scène Labatt Blues	Magic Slim and the Teardrops 
Teardrops 	Saturday July 9, 1994 at 11:59 p.m.	Spectrum de Montréal	
Teatro Necessario	Friday July 1, 2011 at 1 p.m.	Pub Heineken	Teatro Necessario
Teatro Necessario	Friday July 1, 2011 at 4 p.m.	Pub Heineken	
Teatro Necessario	Saturday July 2, 2011 at 1 p.m.	Marching along Blvd. De Maisonneuve	
Teatro Necessario	Saturday July 2, 2011 at 4 p.m.	Marching along Blvd. De Maisonneuve	
Teatro Necessario	Sunday July 3, 2011 at 1 p.m.	Marching along Blvd. De Maisonneuve	
Teatro Necessario	Sunday July 3, 2011 at 4 p.m.	Marching along Blvd. De Maisonneuve	
Ted Poor	Friday July 1, 2011 at 7 p.m.	Upstairs	Dan Tepfer trio featuring Massimo Biolcati &amp; Ted Poor
Ted Poor	Friday July 1, 2011 at 10 p.m.	Upstairs	
Ted Quinlan Quartet	Saturday July 2, 1988 at 4:30 p.m.	St-Denis II	Ted Quinlan Quartet
Tedd Firth	Wednesday June 29, 2011 at 9 p.m.	L'Astral  (Maison du Festival Rio Tinto Alcan)	Hilary Kole Quartet
Teddy Edwards	Wednesday July 8, 1992 at 10:30 p.m.	Cinquième Salle PDA/MACM	Teddy Edwards Quartet 
Teddy Edwards	Thursday July 6, 1995 at 8 p.m.	Salle Ludger-Duvernay	Randy Weston's Volcano Blues 
