!!! (Chk Chk Chk)	Wednesday June 30, 2010 at 11:59 p.m.	Club Soda	!!! (Chk Chk Chk)
African Jazz Pioneers	Monday July 5, 1993 at 9 p.m.	Spectrum de Montréal	African Jazz Pioneers
Africana Band	Sunday July 12, 1998 at 7:30 p.m.	Scène Bleue Dry 	Africana Band 
Africana Soul Sisters	Monday June 30, 2008 at 11:59 p.m.	Savoy du Métropolis	Jf Lemieux Avec Africana Soul Sisters
Africana Soul Sisters	Tuesday July 1, 2008 at 11:59 p.m.	Savoy du Métropolis	
Afro Celt Sound System	Thursday July 3, 1997 at 10 p.m.	Scène Bleue Dry	Afro Celt Sound System 
Afro Celt Sound System	Saturday October 2, 1999 at 8 p.m.	Spectrum de Montréal 	Afro Celt Sound System
Afro-Cuban All Stars	Sunday July 1, 2001 at 6 p.m.	Spectrum de Montréal	Afro-Cuban All Stars
Afro-Cuban All Stars	Thursday April 24, 2003 at 8 p.m.	Métropolis	Afro-Cuban All Stars
Afro-Cuban All Stars	Tuesday September 28, 2004 at 8 p.m.	Métropolis	Afro-Cuban All Stars
Afro-Cuban All Stars	Sunday July 12, 2009 at 7 p.m.	Scène Rio Tinto Alcan	La Fiesta Cubana
Afro-Cuban All Stars	Friday October 30, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Afro-Cuban AllStars
AfroCubism	Friday November 5, 2010 at 8 p.m.	Métropolis 	AfroCubism
Afrodizz	Thursday July 3, 2003 at 7:30 p.m.	Labatt Bleue Légère Stage	Afrodizz
Afrodizz	Wednesday June 30, 2004 at 10 p.m.	Labatt Bleue Légère Stage	Afrodizz
Afrodizz	Wednesday July 6, 2005 at 9 p.m.	Métropolis	Femi Kuti
Afrodizz	Friday June 30, 2006 at 9 p.m.	General Motors Stage	Afrodizz
Afrodizz	Friday June 30, 2006 at 11 p.m.	General Motors Stage	
Afrodizz	Thursday June 28, 2007 at 11:59 p.m.	Club Soda	Afrodizz Massive Afrofunk Session
Afrodizz	Saturday July 2, 2011 at 11 p.m.	Club Soda	Afrodizz
The Aggrolites	Thursday July 1, 2010 at 7 p.m.	Club Soda	The Aggrolites
Agharta	Sunday July 5, 1981 at 8 p.m.	Club de Montréal	L'Orchestre Sympathique
Ahmad Jamal	Sunday July 1, 1984 at 10 p.m.	Bibliothèque Nationale	Ahmad Jamal - CANCELLED
Ahmad Jamal	Sunday June 30, 1985 at 11 p.m.	Théâtre St-Denis II	Ahmad Jamal
Ahmad Jamal	Saturday July 6, 1991 at 6 p.m.	Théâtre Maisonneuve	Tuck &amp; Patti / Ahmad Jamal Trio
Ahmad Jamal	Monday July 6, 1998 at 6 p.m.	Théâtre Maisonneuve - PdA	Ahmad Jamal Trio et Brad Mehldau Trio - CANCELLED
Ahmad Jamal	Friday July 2, 2010 at 9:30 p.m.	Théâtre Maisonneuve - PdA	Ahmad Jamal
Aim	Friday July 5, 2002 at 11:59 p.m.	Club Soda	People Under The Stairs - Aim
Air	Thursday July 7, 1983 at 11:30 p.m.	Spectrum de Montréal	Air
